NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Junior mercantil;4.3;129 comentários;R. Sen. Pompeu, 2508 - José Bonifacio, Fortaleza - CE, 60025-002;Supermercado;15 min;Supermercado
Mercantil Primu's;3.0;7 comentários;Rua General Bezerril, 577 - Centro, Fortaleza - CE, 60055-100;Supermercado;;Supermercado
Dmais Supermercado Loja 01;4.2;327 comentários;Rua Antônio Fiúza, 248 - Montese, Fortaleza - CE, 60421-072;Supermercado;15 min;Supermercado
Mercado Público Cidade dos Funcionários;3.2;11 comentários;Av. Oliveira Paiva, 1149 - Cidade dos Funcionários, Fortaleza - CE, 60822-131;Supermercado;;Supermercado
Mercadinho Bonzão;4.0;2 comentários;Rua Marechal Deodoro, 486 - Benfica, Fortaleza - CE, 60020-060;Supermercado;;Supermercado
Villabox Supermercado | Loja João XXIII;4.4;363 comentários;R. Pôrto Velho, 467 - João XXIII, Fortaleza - CE, 60525-571;Supermercado;15 min;Supermercado
Atacadão Largos Filial;4.0;2 comentários;Rua Governador Sampaio, 138 - Centro, Fortaleza - CE, 60055-050;Supermercado;;Supermercado
Galo Branco;5.0;Um comentário;Rua Governador Sampaio, 408 - Centro, Fortaleza - CE, 60055-050;Supermercado;;Supermercado
Mercado N4 (antigo nazareno);4.5;31 comentários;R. Saldanha Marinho, 761 - Fátima, Fortaleza - CE, 60040-280;Supermercado;;Supermercado
super Uchôa;4.5;2 comentários;Fortaleza - Zone 1, Fortaleza - CE;Supermercado;;Supermercado
Leite E Massa Barato;3.5;4 comentários;Rua Governador Sampaio, 172 - Centro, Fortaleza - CE, 60055-050;Supermercado;;Supermercado
Monteiro Supermercado;4.7;3 comentários;Av. César Cals, 484 - Praia do Futuro, Fortaleza - CE, 60183-550;Supermercado;;Supermercado
DMais Supermercado;4.2;278 comentários;R. 15 de Novembro, 600 - Montese, Fortaleza - CE, 60421-076;Supermercado;15 min;Supermercado
Mercadinho Senador;4.5;35 comentários;R. Sen. Pompeu, 2354 - Benfica, Fortaleza - CE, 60025-002;Supermercado;;Supermercado
Mercado Imperial;4.2;10 comentários;Rua Princesa Isabel, 1618 - Farias Brito, Fortaleza - CE, 60015-061;Supermercado;;Supermercado
Super Conquista;4.1;49 comentários;Av. H, 2340 - Conj. Ceará II, Fortaleza - CE, 60533-666;Supermercado;15 min;Supermercado
Mercadinho do Lar;4.3;4 comentários;Rua Padre Antonino, 364 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-480;Supermercado;;Supermercado
Pão de Açúcar;4.3;1.273 comentários;Rua Bárbara de Alencar, 1887 - Loja 1 - Aldeota, Fortaleza - CE, 60140-000;Supermercado;20 min;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Nidobox Supermercado - Praxedes;4.2;2.243 comentários;R. Des. Praxedes, 370 - Damas, Fortaleza - CE, 60425-236;Supermercado;20 min;Supermercado
Mercadito;1.7;6 comentários;Av. Historiador Raimundo Girão, 35 - Praia de Iracema, Fortaleza - CE, 60165-050;Supermercado;;Supermercado
Butekão armazém;;;Rua Governador Sampaio, 314 - Centro, Fortaleza - CE, 60055-050;;;Supermercado
Frangolândia Supermercado Cocó: Carnes, Frutas, Delivery em Fortaleza CE;3.9;1.495 comentários;Av. Antônio Sales, 3700 - Cocó, Fortaleza - CE, 60135-102;Supermercado;20 min;Supermercado
RL Bombom;;;Avenida Imperador, 456 - Centro, Fortaleza - CE, 60015-050;;;Supermercado
Mercadinho Jalcy;;;Av. Duque de Caxias - Centro, Fortaleza - CE, 60020-030;;;Supermercado
Nidobox Supermercado - Matriz;4.2;1.570 comentários;R. Ten. Moacir Matos, 800 - Montese, Fortaleza - CE, 60420-720;Supermercado;20 min;Supermercado
Rede Parceria Supermercados;;;R. Verbena, 650 - Bonsucesso, Fortaleza - CE, 60545-350;;;Supermercado
Mercadinho O Gordo;4.7;26 comentários;R. Padre Mororó, 730 - Centro, Fortaleza - CE, 60015-220;Supermercado;;Supermercado
Atacadão Fortaleza - Osório de Paiva;4.4;3.969 comentários;Av. Gen. Osório de Paiva, 6297 - Canindezinho, Fortaleza - CE, 60731-335;Atacadista;20 min a 1,5 h;Supermercado
Mercadinho Raio de Sol;4.7;16 comentários;Rua Dom Sebastião Leme, 555 - Fátima, Fortaleza - CE, 60050-100;Supermercado;15 min;Supermercado
Mercadinho Serrano;4.9;7 comentários;Av. Visconde do Rio Branco, 1682 - Centro, Fortaleza - CE, 60055-170;Supermercado;;Supermercado
Laredo Atacado e Varejo;4.4;207 comentários;R. Tereza Cristina, 1177 - Centro, Fortaleza - CE, 60015-140;Supermercado;20 min;Supermercado
